quick-quickly,KPCA,R^8,0.559
quick-quickly,KPCA,R^16,0.656
quick-quickly,KPCA,R^32,0.698
quick-quickly,KPCA,R^64,0.685
quick-quickly,Original,R^128,0.680
statistical-statistically,KPCA,R^8,0.467
statistical-statistically,KPCA,R^16,0.298
statistical-statistically,KPCA,R^32,0.371
statistical-statistically,KPCA,R^64,0.382
statistical-statistically,Original,R^128,0.355
calm-calmly,KPCA,R^8,0.206
calm-calmly,KPCA,R^16,0.315
calm-calmly,KPCA,R^32,0.387
calm-calmly,KPCA,R^64,0.428
calm-calmly,Original,R^128,0.424
thorough-thoroughly,KPCA,R^8,0.521
thorough-thoroughly,KPCA,R^16,0.554
thorough-thoroughly,KPCA,R^32,0.565
thorough-thoroughly,KPCA,R^64,0.566
thorough-thoroughly,Original,R^128,0.543